City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
451,Tabou,CI,77.43,overcast clouds,4.423,-7.3528,hotêl doufoulougou
453,Rincon,US,75.85,overcast clouds,32.296,-81.2354,Days Inn Rincon
454,Gondanglegi,ID,81.57,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
455,Gelemso,ET,60.8,clear sky,8.8167,40.5167,Kerod Hotel
456,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
457,Ahipara,NZ,67.05,few clouds,-35.1667,173.1667,Ahipara Holiday Park
459,Caravelas,BR,77.36,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
460,Sechura,PE,68.76,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
462,San Luis,AR,68.05,clear sky,-33.295,-66.3356,Huarpes Hotel
463,Moron,AR,73.09,clear sky,-34.6534,-58.6198,Hotel Morón
465,Richards Bay,ZA,62.38,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
467,Muana,BR,81.07,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
469,Riberalta,BO,73.6,moderate rain,-10.9833,-66.1,Hotel Colonial
470,Farafangana,MG,75.54,light rain,-22.8167,47.8333,Miarina
473,Janakpur,NP,69.66,clear sky,26.7183,85.9065,Hotel Sita Palace
477,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
478,Half Moon Bay,US,64.76,heavy intensity rain,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
479,Alta Floresta,BR,74.95,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
482,Tiznit,MA,64.72,overcast clouds,29.5833,-9.5,
483,Samarai,PG,83.23,scattered clouds,-10.6167,150.6667,Nuli Sapi
484,Santa Catarina De Tepehuanes,MX,70.97,clear sky,25.35,-105.7333,hotel plaza
487,Sabang,ID,80.89,overcast clouds,5.8933,95.3214,Hotel Citra
488,Charters Towers,AU,80.73,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
490,Parrita,CR,83.52,overcast clouds,9.5201,-84.3225,Beso del Viento
491,Ulladulla,AU,63.09,broken clouds,-35.35,150.4667,Sandpiper Motel
492,Emerald,AU,86.34,broken clouds,-23.5333,148.1667,The Irish Village
493,Taltal,CL,61.66,few clouds,-25.4,-70.4833,Residencial Karime
496,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
497,Goure,NE,87.03,few clouds,13.9835,10.2704,
498,Vaitape,PF,75.61,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
499,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
500,Sao Felix Do Xingu,BR,73.29,moderate rain,-6.6447,-51.995,Rio Xingu Camping
502,Taoudenni,ML,84.81,clear sky,22.6783,-3.9836,
505,Grand Gaube,MU,74.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
506,Naze,JP,67.12,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
508,Springfield,US,71.46,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
511,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
513,Monteiro,BR,76.62,broken clouds,-7.8894,-37.12,Pousada Seu Tião
514,Quelimane,MZ,76.87,clear sky,-17.8786,36.8883,Hotel Flamingo
515,Kolokani,ML,80.51,few clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
