City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
263,Ushtobe,KZ,45.2514,77.9838,39.72,59,0,9.04,clear sky
264,Muroto,JP,33.2833,134.15,55.44,92,100,18.19,light rain
265,Roebourne,AU,-20.7833,117.1333,84.36,33,2,11.63,clear sky
266,Valday,RU,57.9747,33.2525,28.8,86,43,4.61,scattered clouds
267,Sawtell,AU,-30.3833,153.1,76.19,72,53,11.5,broken clouds
268,Menongue,AO,-14.6585,17.691,64.11,88,83,0.63,light rain
269,Marion,US,39.7684,-86.1555,66.81,96,40,8.05,mist
270,Denizli,TR,37.8402,29.0698,58.05,87,14,3.02,few clouds
271,Mombetsu,JP,44.3525,143.3525,45.86,69,0,5.53,clear sky
272,Moosomin,CA,50.1333,-101.6677,35.74,96,100,12.59,overcast clouds
273,Ratnagiri,IN,16.9833,73.3,74.32,86,45,7.58,scattered clouds
274,Ichinoseki,JP,38.9167,141.1333,47.05,68,38,0.6,scattered clouds
275,Bowling Green,US,36.9903,-86.4436,75.13,62,1,14.97,clear sky
276,Araouane,ML,18.9048,-3.5265,88.63,22,69,9.1,broken clouds
277,Mayo,US,38.8876,-76.5119,66.56,83,1,8.99,clear sky
278,Malakal,SS,9.5334,31.6605,76.6,45,19,2.8,few clouds
279,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,21.85,scattered clouds
280,Borovskoy,KZ,53.8,64.15,48.27,76,100,6.58,overcast clouds
281,Buckeye,US,33.3703,-112.5838,88.2,23,33,4.61,scattered clouds
282,Olafsvik,IS,64.8945,-23.7142,42.31,89,100,22.53,moderate rain
283,Sydney,AU,-33.8679,151.2073,70.56,45,20,1.99,few clouds
284,Marawi,PH,7.9986,124.2928,70.65,72,57,0.76,broken clouds
285,Aykhal,RU,66.0,111.5,19.87,97,100,5.12,light snow
286,Cidreira,BR,-30.1811,-50.2056,61.45,66,0,4.79,clear sky
287,Kudahuvadhoo,MV,2.6708,72.8944,82.22,74,36,15.32,scattered clouds
288,Dalgopol,BG,43.05,27.35,44.98,67,1,3.09,clear sky
289,Esperance,AU,-33.8667,121.9,64.24,36,100,11.95,overcast clouds
290,Denpasar,ID,-8.65,115.2167,82.06,78,75,2.3,broken clouds
291,De Aar,ZA,-30.6497,24.0123,49.57,63,0,13.0,clear sky
292,Araxa,BR,-19.5933,-46.9406,69.76,60,0,3.44,clear sky
293,Porto Novo,BJ,6.4965,2.6036,80.42,85,34,5.79,scattered clouds
294,Gerash,IR,27.6652,54.1371,68.72,35,0,6.02,clear sky
295,Terrace,CA,54.5163,-128.6035,50.43,57,75,17.27,broken clouds
296,Diosjeno,HU,47.9397,19.0432,38.46,66,8,3.36,clear sky
297,Aklavik,CA,68.2191,-135.0107,21.92,95,98,2.62,overcast clouds
298,Kovdor,RU,67.5662,30.4758,16.23,92,82,1.9,broken clouds
299,Bonthe,SL,7.5264,-12.505,77.7,88,100,5.32,moderate rain
300,Srednekolymsk,RU,67.45,153.6833,-0.08,82,100,2.17,overcast clouds
301,Tiksi,RU,71.6872,128.8694,-0.67,100,100,3.98,overcast clouds
302,Inhambane,MZ,-23.865,35.3833,73.24,88,100,4.45,overcast clouds
303,Itigi,TZ,-5.7,34.4833,71.44,48,29,9.6,scattered clouds
304,Boyolangu,ID,-8.1181,111.8935,78.17,80,95,3.15,overcast clouds
305,Catuday,PH,16.2923,119.8062,80.17,72,100,7.61,overcast clouds
306,Port Lincoln,AU,-34.7333,135.8667,58.12,63,0,15.23,clear sky
307,Tabuk,PH,17.4189,121.4443,75.65,88,94,2.01,overcast clouds
308,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,86,77,1.39,broken clouds
309,Palomares,MX,17.15,-95.0667,78.37,83,63,9.44,broken clouds
310,Banepa,NP,27.6298,85.5214,57.52,100,20,0.0,few clouds
311,Kieta,PG,-6.2167,155.6333,86.14,61,86,3.42,overcast clouds
312,Karaton,ID,-6.3424,106.1045,83.95,80,69,1.3,broken clouds
313,Zverinogolovskoye,RU,54.4586,64.8542,45.43,86,100,7.72,overcast clouds
314,Surt,LY,31.2089,16.5887,76.62,67,93,13.6,overcast clouds
315,Henties Bay,NA,-22.116,14.2845,58.86,89,0,6.04,clear sky
316,Caraballeda,VE,10.6112,-66.8522,84.27,79,75,2.3,broken clouds
317,San Lazaro,BZ,18.0387,-88.6622,83.91,91,100,5.01,overcast clouds
318,Reo,BF,12.3167,-2.4667,80.37,63,54,2.68,broken clouds
319,Lewistown,US,40.5992,-77.5714,58.51,100,90,0.0,mist
320,Soyo,AO,-6.1349,12.3689,76.93,83,92,9.73,overcast clouds
321,Beringovskiy,RU,63.05,179.3167,10.6,79,38,6.46,scattered clouds
322,Kavieng,PG,-2.5744,150.7967,84.94,67,55,9.93,broken clouds
323,Riobamba,EC,-1.6667,-78.6333,53.42,94,93,1.7,light rain
324,Vao,NC,-22.6667,167.4833,70.7,70,17,11.21,few clouds
325,Codrington,AU,-38.2667,141.9667,54.54,61,87,12.17,overcast clouds
326,Marsa Matruh,EG,31.3525,27.2453,71.8,73,20,10.36,few clouds
327,Auki,SB,-8.7676,160.7034,83.55,74,18,3.6,few clouds
328,Ampanihy,MG,-24.7,44.75,68.22,94,35,6.64,scattered clouds
329,Severo-Yeniseyskiy,RU,60.3725,93.0408,31.8,90,100,12.37,overcast clouds
330,Manokwari,ID,-0.8667,134.0833,81.91,68,100,1.68,overcast clouds
331,Lincoln,US,40.8,-96.667,47.17,95,90,1.01,overcast clouds
